"","","","","","","","","","","","",""
"","TEMPO MÉDIO DE EXECUÇÃO (executados 3x)","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","CRESCENTE C/ REPETIÇÃO","100,000","160,000","220,000","280,000","340,000","400,000","460,000","520,000","580,000","640,000","700,000"
"","Bubble Sort","1ms","0ms","0ms","0ms","0ms","0ms","0ms","0ms","0ms","0ms","0ms"
"","Insertion Sort","2ms","0ms","0ms","0ms","0ms","0ms","0ms","0ms","0ms","0ms","0ms"
"","Selection Sort","1673ms","4245ms","3461ms","7993ms","19052ms","26327ms","34812ms","44450ms","55298ms","67409ms","80519ms"
"","Merge Sort","16ms","11ms","11ms","12ms","20ms","23ms","27ms","31ms","33ms","38ms","42ms"
"","Quick Sort","24ms","16ms","15ms","22ms","34ms","39ms","45ms","52ms","58ms","64ms","71ms"
"","Heap Sort","8ms","11ms","14ms","16ms","23ms","28ms","32ms","36ms","41ms","45ms","49ms"
"","","","","","","","","","","","",""
"","CRESCENTE S/ REPETIÇÃO","100,000","160,000","220,000","280,000","340,000","400,000","460,000","520,000","580,000","640,000","700,000"
"","Bubble Sort"," 0ms","0ms","0ms","0ms","0ms","0ms","1ms","0ms","0ms","0ms","5ms"
"","Insertion Sort","0ms","0ms","0ms","0ms","0ms","0ms","0ms","0ms","0ms","0ms","1ms"
"","Selection Sort","729ms","1901ms","3713ms","6082ms","8304ms","11398ms","15100ms","20663ms","26292ms","29351ms","35086ms"
"","Merge Sort","17ms","8ms","13ms","16ms","18ms","23ms","22ms","26ms","31ms","30ms","39ms"
"","Quick Sort","5ms","7ms","8ms","9ms","14ms","18ms","23ms","23ms","24ms","28ms","30ms"
"","Heap Sort","10ms","11ms","19ms","19ms","22ms","26ms","29ms","31ms","36ms","48ms","44ms"
"","","","","","","","","","","","",""
"","DECRESCENTE C/ REPETIÇÃO","100,000","160,000","220,000","280,000","340,000","400,000","460,000","520,000","580,000","640,000","700,000"
"","Bubble Sort","7625ms","20329ms","55769ms","75669ms","138092ms","146325ms","198234ms","217655ms","329472ms","374107ms","435833ms"
"","Insertion Sort","8267ms","14916ms","40990ms","40649ms","106359ms","84756ms","116461ms","180601ms","1722068","215077ms","411910ms"
"","Selection Sort","13231ms","22469ms","64138ms","66665ms","166136ms","135913ms","196463ms","290427ms","279368ms","346685ms","681322ms"
"","Merge Sort","15ms","19ms","27ms","24ms","45ms","30ms","31ms","42ms","47ms","65ms","223ms"
"","Quick Sort","9ms","9ms","20ms","16ms","21ms","20ms","23ms","26ms","26ms","27ms","48ms"
"","Heap Sort","8ms","11ms","29ms","19ms","23ms","31ms","33ms","36ms","42ms","42ms","67ms"
"","","","","","","","","","","","",""
"","DECRESCENTE S/ REPETIÇÃO","100,000","160,000","220,000","280,000","340,000","400,000","460,000","520,000","580,000","640,000","700,000"
"","Bubble Sort","7080ms","16582ms","31403ms","56995ms","75820ms","104735ms","197576ms","271406ms","266933ms","416533ms","413505ms"
"","Insertion Sort","5048ms","12756ms","24088ms","47475ms","64964ms","98504ms","154728ms","172577ms","212736ms","303448ms","259624ms"
"","Selection Sort","2000ms","5125ms","9770ms","19360ms","27022ms","36311ms","95215ms","55085ms","117747ms","149717ms","122579ms"
"","Merge Sort","17ms","16ms","8ms","20ms","19ms","23ms","49ms","39ms","65ms","177ms","109ms"
"","Quick Sort","5ms","10ms","8ms","16ms","21ms","23ms","40ms","29ms","27ms","50ms","41ms"
"","Heap Sort","8ms","15ms","15ms","21ms","14ms","16ms","51ms","34ms","45ms","66ms","50ms"
"","","","","","","","","","","","",""
"","ALEATÓRIO C/ REPETIÇÃO","100,000","160,000","220,000","280,000","340,000","400,000","460,000","520,000","580,000","640,000","700,000"
"","Bubble Sort","22033ms","56196ms","92538ms","127052ms","261051ms","223234ms","343606ms","532260ms","531220ms","655057ms","789892ms"
"","Insertion Sort","5276ms","11448ms","18687ms","28491ms","50136ms","40483ms","55329ms","70057ms","114729ms","148934ms","46657ms"
"","Selection Sort","3953ms","8213ms","13843ms","30462ms","40401ms","28528ms","39227ms","48439ms","65646ms","149364ms","179012ms"
"","Merge Sort","39ms","48ms","48ms","80ms","78ms","50ms","60ms","81ms","98ms","121ms","109ms"
"","Quick Sort","16ms","42ms","42ms","48ms","70ms","50ms","50ms","61ms","72ms","91ms","93ms"
"","Heap Sort","16ms","47ms","43ms","45ms","71ms","44ms","49ms","60ms","77ms","105ms","113ms"
"","","","","","","","","","","","",""
"","ALEATÓRIO S/ REPETIÇÃO","100,000","160,000","220,000","280,000","340,000","400,000","460,000","520,000","580,000","640,000","700,000"
"","Bubble Sort","20385ms","52589ms","102336ms","175598ms","197457ms","301234ms","487529ms","366166ms","532098ms","764482ms","752236ms"
"","Insertion Sort","4935ms","10930ms","21686ms","34645ms","48491ms","69416ms","53774ms","69262ms","122220ms","105118ms","129478ms"
"","Selection Sort","3664ms","7880ms","16554ms","26363ms","35000ms","51968ms","39646ms","49676ms","122939ms","75871ms","89237ms"
"","Merge Sort","28ms","30ms","41ms","53ms","82ms","79ms","73ms","80ms","103ms","94ms","136ms"
"","Quick Sort","13ms","21ms","32ms","37ms","61ms","84ms","45ms","60ms","95ms","65ms","73ms"
"","Heap Sort","15ms","27ms","46ms","52ms","72ms","89ms","50ms","72ms","84ms","72ms","85ms"
